  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.7235E-03      1.1065E+00      1.0280E+00      1.2009E+00      2.4703E-03      7.7304E+01      9.7759E+01      1.0000E+00
      2.4251E-03      1.0851E+00      1.0364E+00      1.2988E+00      2.0606E-03      8.2771E+01      9.8891E+01      1.0000E+00
      1.5990E-03      1.4838E+00      1.2693E+00      1.7667E+00      9.3422E-04      6.4661E+01      1.2744E+02      1.0000E+00
      1.4626E-03      1.2868E+00      1.3618E+00      1.5878E+00      8.4570E-04      6.7057E+01      1.3106E+02      1.0000E+00
      2.4027E-03      1.1915E+00      1.0679E+00      1.3044E+00      2.0817E-03      7.1054E+01      1.0908E+02      1.0000E+00
      2.6687E-03      1.1165E+00      1.0157E+00      1.1668E+00      2.4864E-03      8.4205E+01      9.5489E+01      1.0000E+00
      2.4881E-03      1.0316E+00      1.0028E+00      1.0705E+00      2.4209E-03      8.7924E+01      9.3258E+01      1.0000E+00
      2.5479E-03      1.0191E+00      1.0008E+00      1.0399E+00      2.5311E-03      8.9270E+01      9.0440E+01      1.0000E+00
      2.5340E-03      1.0167E+00      1.0005E+00      1.0300E+00      2.5093E-03      8.9564E+01      9.0787E+01      1.0000E+00
      2.5170E-03      1.0067E+00      1.0001E+00      1.0134E+00      2.5078E-03      8.9887E+01      9.0305E+01      1.0000E+00
      2.5115E-03      1.0041E+00      1.0000E+00      1.0075E+00      2.5062E-03      8.9849E+01      9.0228E+01      1.0000E+00
      2.5071E-03      1.0021E+00      1.0000E+00      1.0040E+00      2.5048E-03      8.9914E+01      9.0122E+01      1.0000E+00
      2.5053E-03      1.0013E+00      1.0000E+00      1.0023E+00      2.5044E-03      8.9933E+01      9.0071E+01      1.0000E+00
      2.5037E-03      1.0010E+00      1.0000E+00      1.0016E+00      2.5026E-03      8.9928E+01      9.0064E+01      1.0000E+00
      2.5021E-03      1.0005E+00      1.0000E+00      1.0009E+00      2.5014E-03      8.9958E+01      9.0038E+01      1.0000E+00
      2.5012E-03      1.0003E+00      1.0000E+00      1.0005E+00      2.5010E-03      8.9983E+01      9.0017E+01      1.0000E+00
      2.5009E-03      1.0002E+00      1.0000E+00      1.0004E+00      2.5008E-03      8.9986E+01      9.0013E+01      1.0000E+00
      2.5007E-03      1.0002E+00      1.0000E+00      1.0003E+00      2.5004E-03      8.9985E+01      9.0012E+01      1.0000E+00
      2.5003E-03      1.0001E+00      1.0000E+00      1.0001E+00      2.5001E-03      8.9990E+01      9.0007E+01      1.0000E+00
      2.5001E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9998E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9999E+01      9.0002E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9998E+01      9.0002E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9998E+01      9.0002E+01      1.0000E+00
      2.5000E-03      1.0000E+00      1.0000E+00      1.0000E+00      2.5000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      2.5001E-03      1.0000E+00      1.0000E+00      1.0001E+00      2.5000E-03      8.9993E+01      9.0005E+01      1.0000E+00
